Body	Label	Score	Translation	Positive	Negative	EmotionRationale
The older, more conservative function is _strtoi64()Fix in http://github.com/zippy1981/mongo/commit/f7b7c07e2a72011b8dbd72d10dcbaa22d8e5fb54Stackoverflow discussion is in http://stackoverflow.com/questions/3106026/is-there-a-stoll-stroll-string-to-long-long-alternative-in-visual-studio-20/3106060#3106060	NEGATIVE	0.998152494430542	The older, more conservative function is _strtoi64(Fix in http://github.<br>com/zippy1981/mongo/commit/f7b7c07e2a72011b8dbd72d10dcba22d8e5fb54Stackoverflow discussion is in http://stackoverflow.<br>com/questions/3106026/is-there-a-stoll-stroll-string-to-long-long-alternative-in-visual-studio-20/3106060#3106060	1	-1	 The[0] older[0] more[0] conservative[0] function[0] is[0] _strtoi64[0] Fix[0] in[0] http[0] ://github[0] [[Sentence=-1,1=word max, 1-5]] com/zippy1981/mongo/commit/f7b7c07e2a72011b8dbd72d10dcbaa22d8e5fb54Stackoverflow/com/zippy1981/mongo/commit/f7b7c07e2a72011b8dbd72d10dcba22d8e5fb54Stackoverflow[0] discussion[0] is[0] in[0] http[0] ://stackoverflow[0] [[Sentence=-1,1=word max, 1-5]] com/questions/3106026/is[0] there[0] a[0] stoll[0] stroll[0] string[0] to[0] long[0] long[0] alternative[0] in[0] visual[0] studio[0] -20/3106060#3106060[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Dwight,Shouldn't we also check the error cases?I'll confess I'm not running the unit tests on my machine. I'll start doing that.	NEGATIVE	0.9990084171295166	Dwight,Shouldn't we also check the error cases?<br>I'll confess I'm not running the unit tests on my machine.<br> I'll start doing that.	1	-2	 Dwight[0] Shouldn't[0] we[0] also[0] check[0] the[0] error[-1] cases[0] [[Sentence=-2,1=word max, 1-5]] I'll[0] confess[-1] I'm[0] not[0] running[0] the[0] unit[0] tests[0] on[0] my[0] machine[0] [[Sentence=-2,1=word max, 1-5]] I'll[0] start[0] doing[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
sure.UnitTest is something that runs at every server startup.so they must very light and fast."real" tests should go in dbtests / test binary (or jstests if applicable)running tests v good idea.see "smoke" page on wiki	NEGATIVE	0.9968453049659729	sure.<br>UnitTest is something that runs at every server startup.<br>so they must very light and fast.<br>real" tests should go in dbtests / test binary (or jstests if applicable)running tests v good idea.<br>see "smoke" page on wiki	2	-1	 sure[0] [[Sentence=-1,1=word max, 1-5]] UnitTest[0] is[0] something[0] that[0] runs[0] at[0] every[0] server[0] startup[0] [[Sentence=-1,1=word max, 1-5]] so[0] they[0] must[0] very[0] light[0] and[0] fast[0] [[Sentence=-1,1=word max, 1-5]] real[0] tests[0] should[0] go[0] in[0] dbtests[0] /[0] test[0] binary[0] or[0] jstests[0] if[0] applicable[0] running[0] tests[0] v[0] good[1] idea[0] [[Sentence=-1,2=word max, 1-5]] see[0] smoke[0] page[0] on[0] wiki[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
The UTF-8 BOM, signifying nothing, and annoying the hell out of developers and users.	NEGATIVE	0.9997432827949524	The UTF-8 BOM, signifying nothing, and annoying the hell out of developers and users.	1	-3	 The[0] UTF[0] -8[0] BOM[0] signifying[0] nothing[0] and[0] annoying[-2] the[0] hell[-1] out[0] of[0] developers[0] and[0] users[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Was the near/far thing a 64 bit thing? I though the near/far dated back to win16 programming?Regardless, it compiles.	NEGATIVE	0.9923588633537292	Was the near/far thing a 64 bit thing?<br> I though the near/far dated back to win16 programming?<br>Regardless, it compiles.	1	-2	 Was[0] the[0] near/far[0] thing[0] a[0] 64[0] bit[0] thing[0] [[Sentence=-1,1=word max, 1-5]] I[0] though[0] the[0] near/far[0] dated[0] back[0] to[0] win16[0] programming[0] [[Sentence=-1,1=word max, 1-5]] Regardless[-1] it[0] compiles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
vs2008 vs vs2010 issue	NEGATIVE	0.949441134929657	vs2008 vs vs2010 issue	1	-1	 vs2008[0] vs[0] vs2010[0] issue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't comment out the lines in the method, just comment out doTest() etc...makes it easer to test, etc...	POSITIVE	0.8146459460258484	don't comment out the lines in the method, just comment out doTest( etc.<br>makes it easer to test, etc.	1	-1	 don't[0] comment[0] out[0] the[0] lines[0] in[0] the[0] method[0] just[0] comment[0] out[0] doTest[0] etc[0] [[Sentence=-1,1=word max, 1-5]] makes[0] it[0] easer[0] to[0] test[0] etc[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Eliot, please roll this commit back. I found a bug with it. I didn't think you would include it until I made a pull request to you. Thanks, Tony	NEGATIVE	0.9875017404556274	Eliot, please roll this commit back.<br> I found a bug with it.<br> I didn't think you would include it until I made a pull request to you.<br> Thanks, Tony	2	-2	 Eliot[0] please[1] roll[0] this[0] commit[0] back[0] [[Sentence=-1,2=word max, 1-5]] I[0] found[0] a[0] bug[-1] with[0] it[0] [[Sentence=-2,1=word max, 1-5]] I[0] didn't[0] think[0] you[0] would[0] include[0] it[0] until[0] I[0] made[0] a[0] pull[0] request[0] to[0] you[0] [[Sentence=-1,1=word max, 1-5]] Thanks[1] Tony[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
Wouldn't "-o -" be more inline with unix convention than "-o stdout"? Or is the problem boost parsing?Then again, part of me thinks default mongodump behavior should be to stdout, and there shoulld be a new switch for current default behavior.	NEGATIVE	0.9993363618850708	Wouldn't "o - be more inline with unix convention than "o stdout"<br> Or is the problem boost parsing?<br>Then again, part of me thinks default mongodump behavior should be to stdout, and there should be a new switch for current default behavior.	1	-2	 Wouldn't[0] o[0] be[0] more[0] inline[0] with[0] unix[0] convention[0] than[0] o[0] stdout[0] [[Sentence=-1,1=word max, 1-5]] Or[0] is[0] the[0] problem[-1] boost[0] parsing[0] [[Sentence=-2,1=word max, 1-5]] Then[0] again[0] part[0] of[0] me[0] thinks[0] default[-1] mongodump[0] behavior[0] should[0] be[0] to[0] stdout[0] and[0] there[0] shoulld/should[0] be[0] a[0] new[0] switch[0] for[0] current[0] default[-1] behavior[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Double build break, double my bad. I'll have to start building on ubuntu to check these things.	NEGATIVE	0.9954041838645935	Double build break, double my bad.<br> I'll have to start building on ubuntu to check these things.	1	-2	 Double[0] build[0] break[0] double[0] my[0] bad[-1] [[Sentence=-2,1=word max, 1-5]] I'll[0] have[0] to[0] start[0] building[0] on[0] ubuntu[0] to[0] check[0] these[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
Won't this catch use of small oplog size when used with an arbiter? In your docs you recommend using a small oploghttp://www.mongodb.org/display/DOCS/Adding an Arbiter	NEGATIVE	0.9897909164428711	Won't this catch use of small oplog size when used with an arbiter?<br> In your docs you recommend using a small oploghttp://w.<br>mongodb.<br>org/display/DOCS/Adding an Arbiter	1	-1	 Won't[0] this[0] catch[0] use[0] of[0] small[0] oplog[0] size[0] when[0] used[0] with[0] an[0] arbiter[0] [[Sentence=-1,1=word max, 1-5]] In[0] your[0] docs[0] you[0] recommend[0] using[0] a[0] small[0] oploghttp[0] ://www/://w[0] [[Sentence=-1,1=word max, 1-5]] mongodb[0] [[Sentence=-1,1=word max, 1-5]] org/display/DOCS/Adding[0] an[0] Arbiter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
right.will take it out.	POSITIVE	0.9997563362121582	right.<br>will take it out.	1	-1	 right[0] [[Sentence=-1,1=word max, 1-5]] will[0] take[0] it[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Could InterLockedExchange be used on windows and __sync_xor_and_fetch when GCC is used?For windows:http://msdn.microsoft.com/en-us/library/ms683590(v vs.85).aspxFor GCC:http://gcc.gnu.org/onlinedocs/gcc/Atomic-Builtins.html	NEGATIVE	0.9974939227104187	Could InterLockedExchange be used on windows and __sync_xor_and_fetch when GC is used?<br>For windows:http://msdn.<br>microsoft.<br>com/en-us/library/ms683590(v vs.85)<br>aspxFor GC:http://gc.<br>gnu.<br>org/onlinedocs/gcc/Atomic-Builtins.<br>html	1	-1	 Could[0] InterLockedExchange[0] be[0] used[0] on[0] windows[0] and[0] __sync_xor_and_fetch[0] when[0] GCC/GC[0] is[0] used[0] [[Sentence=-1,1=word max, 1-5]] For[0] windows[0] http[0] ://msdn[0] [[Sentence=-1,1=word max, 1-5]] microsoft[0] [[Sentence=-1,1=word max, 1-5]] com/en[0] us/library/ms683590[0] v[0] vs[0] .85[0] [[Sentence=-1,1=word max, 1-5]] aspxFor[0] GCC/GC[0] http[0] ://gcc/://gc[0] [[Sentence=-1,1=word max, 1-5]] gnu[0] [[Sentence=-1,1=word max, 1-5]] org/onlinedocs/gcc/Atomic[0] Builtins[0] [[Sentence=-1,1=word max, 1-5]] html[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
There is no way to make it cleaner using boost::filesystem ?http://www.boost.org/doc/libs/1_45_0/libs/filesystem/v2/doc/index.htm	NEGATIVE	0.9994893074035645	There is no way to make it cleaner using boost:filesystem ?<br>http://w.<br>boost.<br>org/doc/libs/1_45_0/libs/filesystem/v2/doc/index.<br>htm	1	-1	 There[0] is[0] no[0] way[0] to[0] make[0] it[0] cleaner[0] using[0] boost[0] filesystem[0] [[Sentence=-1,1=word max, 1-5]] http[0] ://www/://w[0] [[Sentence=-1,1=word max, 1-5]] boost[0] [[Sentence=-1,1=word max, 1-5]] org/doc/libs/1_45_0/libs/filesystem/v2/doc/index[0] [[Sentence=-1,1=word max, 1-5]] htm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
detects int overflow in passed 2d bounds/parameters	NEGATIVE	0.9619932174682617	detects int overflow in passed 2d bounds/parameters	1	-2	 detects[0] int[0] overflow[-1] in[0] passed[0] 2d[0] bounds/parameters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Major change here is basically to pull up the expand algorithm into the superclass.	NEGATIVE	0.9953621625900269	Major change here is basically to pull up the expand algorithm into the superclass.	1	-1	 Major[0] change[0] here[0] is[0] basically[0] to[0] pull[0] up[0] the[0] expand[0] algorithm[0] into[0] the[0] superclass[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
You also need to make a similar change within void ReplicaSetMonitor::_checkHosts():Line 297: log(1)    "updated set ("    _name    ") to: "    getServerAddress()Perhaps more places as well.	NEGATIVE	0.998238205909729	You also need to make a similar change within void ReplicaSetMonitor::_checkHosts(Line 297: log(1)    "updated set (    _name    " to: "    getServerAddress(Perhaps more places as well.	1	-2	 You[0] also[0] need[0] to[0] make[0] a[0] similar[0] change[0] within[0] void[-1] ReplicaSetMonitor[0] ::_checkHosts[0] Line[0] 297[0] log[0] (1[0] updated[0] set[0] _name[0] to[0] getServerAddress[0] Perhaps[0] more[0] places[0] as[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
The one you mentioned should be that way i believe.	POSITIVE	0.9974968433380127	The one you mentioned should be that way i believe.	1	-1	 The[0] one[0] you[0] mentioned[0] should[0] be[0] that[0] way[0] i[0] believe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Why not checking that scale is a multiple of 1024 ?	NEGATIVE	0.9973618388175964	Why not checking that scale is a multiple of 1024 ?	1	-1	 Why[0] not[0] checking[0] that[0] scale[0] is[0] a[0] multiple[0] of[0] 1024[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Won't this mean you can step down a primary (and assuming a busy website load) 10 seconds of data may be lost?I would have thought you would want to have no lag what so ever, otherwise you need to specify force: true, instead of allowing 10 seconds of lag time?	NEGATIVE	0.9990546107292175	Won't this mean you can step down a primary (and assuming a busy website load) 10 seconds of data may be lost?<br>I would have thought you would want to have no lag what so ever, otherwise you need to specify force: true, instead of allowing 10 seconds of lag time?	2	-2	 Won't[0] this[0] mean[0] you[0] can[0] step[0] down[0] a[0] primary[0] and[0] assuming[0] a[0] busy[0] website[0] load[0] 10[0] seconds[0] of[0] data[0] may[0] be[0] lost[0] [[Sentence=-1,1=word max, 1-5]] I[0] would[0] have[0] thought[0] you[0] would[0] want[0] to[0] have[0] no[0] lag[0] what[0] so[0] ever[0] otherwise[0] you[0] need[0] to[0] specify[0] force[-1] true[1] instead[0] of[0] allowing[0] 10[0] seconds[0] of[0] lag[0] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
perhaps, this would extend "life" for SERVER-3016 issues ?	NEGATIVE	0.9977805614471436	perhaps, this would extend "life" for SERVER-3016 issues ?	1	-1	 perhaps[0] this[0] would[0] extend[0] life[0] for[0] SERVER[0] -3016[0] issues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
OMG thank you for fixing this.Personally a victim of it. :)	NEGATIVE	0.9978998303413391	OMG thank you for fixing this.<br>Personally a victim of it.<br> .	2	-3	 OMG[1] thank[1] you[0] for[0] fixing[0] this[0] [[Sentence=-1,2=word max, 1-5]] Personally[0] a[0] victim[-2] of[0] it[0] [[Sentence=-3,1=word max, 1-5]][+1 Emoticon] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
Haha, you're welcome :)	POSITIVE	0.99968421459198	Haha, you're welcome welcome	3	-1	 Haha[1] you're[0] welcome[1][+1 Emoticon] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
backport?	NEGATIVE	0.9925916194915771	backport?	1	-1	 backport[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
The formatting on this is off.Also, this will be kind of slow since its going to cause an error every time.We need to check and see if there actually is a prompt() function.	NEGATIVE	0.9997801184654236	The formatting on this is off.<br>Also, this will be kind of slow since its going to cause an error every time.<br>We need to check and see if there actually is a prompt( function.	2	-2	 The[0] formatting[0] on[0] this[0] is[0] off[0] [[Sentence=-1,1=word max, 1-5]] Also[0] this[0] will[0] be[0] kind[1] of[0] slow[0] since[0] its[0] going[0] to[0] cause[0] an[0] error[-1] every[0] time[0] [[Sentence=-2,2=word max, 1-5]] We[0] need[0] to[0] check[0] and[0] see[0] if[0] there[0] actually[0] is[0] a[0] prompt[0] function[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
Should make it possible to write "uassert( 0, "blah blah", x   3 );", which will then get translated on first build / first errorcode check to uassert(  next errorcode , "blah blah", x   3 );"	NEGATIVE	0.9993566274642944	Should make it possible to write "uassert( 0, "blah blah" x   3 ) which will then get translated on first build / first errorcode check to uassert(  next errorcode , "blah blah" x   3 )	2	-2	 Should[0] make[0] it[0] possible[0] to[0] write[0] uassert[0] 0[0] blah[-1] blah[-1] x[1] 3[0] which[0] will[0] then[0] get[0] translated[0] on[0] first[0] build[0] /[0] first[0] errorcode[-1] check[0] to[0] uassert[0] next[0] errorcode[-1] blah[-1] blah[-1] x[1] 3[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
alloc deleted freelist allocation chaining	NEGATIVE	0.9948181509971619	alloc deleted freelist allocation chaining	1	-1	 alloc[0] deleted[0] freelist[0] allocation[0] chaining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Damn, I'm glad I'm not as stupid as the guy who wrote this.	NEGATIVE	0.9943404197692871	Damn, I'm glad I'm not as stupid as the guy who wrote this.	2	-2	 Damn[-1] I'm[0] glad[1] I'm[0] not[0] as[0] stupid[-1][NegatedDueToPreviousWord] as[0] the[0] guy[0] who[0] wrote[0] this[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that's harsh :-)what's wrong with it	NEGATIVE	0.9997745752334595	that's harsh :what's wrong with it	1	-2	 that's[0] harsh[-1] what's[0] wrong[-1] with[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in mongo assert is defined even in release builds.thus this works.the idea is that this notifies if the buffer is too small.strncpy would work but you wouldn't get any notification.this should never happen thus the abort.	NEGATIVE	0.8177763819694519	in mongo assert is defined even in release builds.<br>thus this works.<br>the idea is that this notifies if the buffer is too small.<br>strncpy would work but you wouldn't get any notification.<br>this should never happen thus the abort.	1	-1	 in[0] mongo[0] assert[0] is[0] defined[0] even[0] in[0] release[0] builds[0] [[Sentence=-1,1=word max, 1-5]] thus[0] this[0] works[0] [[Sentence=-1,1=word max, 1-5]] the[0] idea[0] is[0] that[0] this[0] notifies[0] if[0] the[0] buffer[0] is[0] too[0] small[0] [[Sentence=-1,1=word max, 1-5]] strncpy[0] would[0] work[0] but[0] you[0] wouldn't[0] get[0] any[0] notification[0] [[Sentence=-1,1=word max, 1-5]] this[0] should[0] never[0] happen[0] thus[0] the[0] abort[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Excellent. Disaster averted.I think this commit just got passed around because it's very difficult to tell that assert has non-default behavior.	NEGATIVE	0.9843152165412903	Excellent.<br> Disaster averted.<br>I think this commit just got passed around because it's very difficult to tell that assert has non-default behavior.	4	-3	 Excellent[3] [[Sentence=-1,4=word max, 1-5]] Disaster[-1] averted[-1] [[Sentence=-2,1=word max, 1-5]] I[0] think[0] this[0] commit[0] just[0] got[0] passed[0] around[0] because[0] it's[0] very[0] difficult[-1][-1 LastWordBoosterStrength] to[0] tell[0] that[0] assert[0] has[0] non[0] default[-1] behavior[0] [[Sentence=-3,1=word max, 1-5]][[[4,-3 max of sentences]]]
what's wrong with assert? it works doesn't it?	POSITIVE	0.6098965406417847	what's wrong with assert?<br> it works doesn't it?	1	-2	 what's[0] wrong[-1] with[0] assert[0] [[Sentence=-2,1=word max, 1-5]] it[0] works[0] doesn't[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
I believe it was passed around because apparently this engineer never heard of strncpy(3).	NEGATIVE	0.9978991150856018	I believe it was passed around because apparently this engineer never heard of strncpy(3)	1	-1	 I[0] believe[0] it[0] was[0] passed[0] around[0] because[0] apparently[0] this[0] engineer[0] never[0] heard[0] of[0] strncpy[0] (3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it means that the db will allocate 3GB right off the bat and take a while to start.May be quite painful for someone just testing the db.I guess we'll have to remember to tell people to use --smallfiles when trying out mongo.	NEGATIVE	0.9995852112770081	it means that the db will allocate 3GB right off the bat and take a while to start.<br>May be quite painful for someone just testing the db.<br>I guess we'll have to remember to tell people to use -smallfiles when trying out mongo.	1	-4	 it[0] means[0] that[0] the[0] db[0] will[0] allocate[0] 3GB[0] right[0] off[0] the[0] bat[0] and[0] take[0] a[0] while[0] to[0] start[0] [[Sentence=-1,1=word max, 1-5]] May[0] be[0] quite[0] painful[-3] for[0] someone[0] just[0] testing[0] the[0] db[0] [[Sentence=-4,1=word max, 1-5]] I[0] guess[0] we'll[0] have[0] to[0] remember[0] to[0] tell[0] people[0] to[0] use[0] smallfiles[0] when[0] trying[0] out[0] mongo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
This line does not affect mongodb parameters in Debian.Admin should create /etc/default/mongo or hotfix start/stop script.	NEGATIVE	0.9936313629150391	This line does not affect mongodb parameters in Debian.<br>Admin should create /etc/default/mongo or hotfix start/stop script.	1	-1	 This[0] line[0] does[0] not[0] affect[0] mongodb[0] parameters[0] in[0] Debian[0] [[Sentence=-1,1=word max, 1-5]] Admin[0] should[0] create[0] /etc/default/mongo[0] or[0] hotfix[0] start/stop[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
The same as dbpath   does not affect mongodb parameters in Debian.Admin should create /etc/default/mongo or hotfix start/stop script.	NEGATIVE	0.9939337372779846	The same as dbpath   does not affect mongodb parameters in Debian.<br>Admin should create /etc/default/mongo or hotfix start/stop script.	1	-1	 The[0] same[0] as[0] dbpath[0] does[0] not[0] affect[0] mongodb[0] parameters[0] in[0] Debian[0] [[Sentence=-1,1=word max, 1-5]] Admin[0] should[0] create[0] /etc/default/mongo[0] or[0] hotfix[0] start/stop[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
This loop only iterates twice but the sleep time is one-third, thus only sleeping two-thirds all together. Is this intended?	NEGATIVE	0.9980936050415039	This loop only iterates twice but the sleep time is one-third, thus only sleeping two-thirds all together.<br> Is this intended?	1	-1	 This[0] loop[0] only[0] iterates[0] twice[0] but[0] the[0] sleep[0] time[0] is[0] one[0] third[0] thus[0] only[0] sleeping[0] two[0] thirds[0] all[0] together[0] [[Sentence=-1,1=word max, 1-5]] Is[0] this[0] intended[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
It seems odd to me to have non deterministic tests.This code seems like it could lead to a test failing one time and succeeding when you try it again.	NEGATIVE	0.9995689392089844	It seems odd to me to have non deterministic tests.<br>This code seems like it could lead to a test failing one time and succeeding when you try it again.	3	-3	 It[0] seems[0] odd[0] to[0] me[0] to[0] have[0] non[0] deterministic[0] tests[0] [[Sentence=-1,1=word max, 1-5]] This[0] code[0] seems[0] like[1] it[0] could[0] lead[0] to[0] a[0] test[0] failing[-2] one[0] time[0] and[0] succeeding[2] when[0] you[0] try[0] it[0] again[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
I agree!Just added https://github.com/mongodb/mongo/commit/1450e4ccdf72c77f9e5b8d037bcaff732d863ab3 to remove the non-determinism.	POSITIVE	0.9715203046798706	I agree!<br>Just added https://github.<br>com/mongodb/mongo/commit/1450e4ccdf72c77f9e5b8d037bcaff732d863ab3 to remove the non-determinism.	1	-1	 I[0] agree[0] [[Sentence=-1,1=word max, 1-5]] Just[0] added[0] https[0] ://github[0] [[Sentence=-1,1=word max, 1-5]] com/mongodb/mongo/commit/1450e4ccdf72c77f9e5b8d037bcaff732d863ab3[0] to[0] remove[0] the[0] non[0] determinism[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
SERVER-3717 (typo)	NEGATIVE	0.995481014251709	SERVER-3717 (typo)	1	-1	 SERVER[0] -3717[0] typo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
