lol ;)	laugh out loud laugh out loud	2	-1	 lol[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Won't this catch use of small oplog size when used with an arbiter? In your docs you recommend using a small oploghttp://www.mongodb.org/display/DOCS/Adding an Arbiter	Won't this catch use of small oplog size when used with an arbiter?<br> In your docs you recommend using a small oploghttp://w.<br>mongodb.<br>org/display/DOCS/Adding an Arbiter	1	-1	 Won't[0] this[0] catch[0] use[0] of[0] small[0] oplog[0] size[0] when[0] used[0] with[0] an[0] arbiter[0] [[Sentence=-1,1=word max, 1-5]] In[0] your[0] docs[0] you[0] recommend[0] using[0] a[0] small[0] oploghttp[0] ://www/://w[0] [[Sentence=-1,1=word max, 1-5]] mongodb[0] [[Sentence=-1,1=word max, 1-5]] org/display/DOCS/Adding[0] an[0] Arbiter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
right.will take it out.	right.<br>will take it out.	1	-1	 right[0] [[Sentence=-1,1=word max, 1-5]] will[0] take[0] it[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Could InterLockedExchange be used on windows and __sync_xor_and_fetch when GCC is used?For windows:http://msdn.microsoft.com/en-us/library/ms683590(v vs.85).aspxFor GCC:http://gcc.gnu.org/onlinedocs/gcc/Atomic-Builtins.html	Could InterLockedExchange be used on windows and __sync_xor_and_fetch when GC is used?<br>For windows:http://msdn.<br>microsoft.<br>com/en-us/library/ms683590(v vs.85)<br>aspxFor GC:http://gc.<br>gnu.<br>org/onlinedocs/gcc/Atomic-Builtins.<br>html	1	-1	 Could[0] InterLockedExchange[0] be[0] used[0] on[0] windows[0] and[0] __sync_xor_and_fetch[0] when[0] GCC/GC[0] is[0] used[0] [[Sentence=-1,1=word max, 1-5]] For[0] windows[0] http[0] ://msdn[0] [[Sentence=-1,1=word max, 1-5]] microsoft[0] [[Sentence=-1,1=word max, 1-5]] com/en[0] us/library/ms683590[0] v[0] vs[0] .85[0] [[Sentence=-1,1=word max, 1-5]] aspxFor[0] GCC/GC[0] http[0] ://gcc/://gc[0] [[Sentence=-1,1=word max, 1-5]] gnu[0] [[Sentence=-1,1=word max, 1-5]] org/onlinedocs/gcc/Atomic[0] Builtins[0] [[Sentence=-1,1=word max, 1-5]] html[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
There is no way to make it cleaner using boost::filesystem ?http://www.boost.org/doc/libs/1_45_0/libs/filesystem/v2/doc/index.htm	There is no way to make it cleaner using boost:filesystem ?<br>http://w.<br>boost.<br>org/doc/libs/1_45_0/libs/filesystem/v2/doc/index.<br>htm	1	-1	 There[0] is[0] no[0] way[0] to[0] make[0] it[0] cleaner[0] using[0] boost[0] filesystem[0] [[Sentence=-1,1=word max, 1-5]] http[0] ://www/://w[0] [[Sentence=-1,1=word max, 1-5]] boost[0] [[Sentence=-1,1=word max, 1-5]] org/doc/libs/1_45_0/libs/filesystem/v2/doc/index[0] [[Sentence=-1,1=word max, 1-5]] htm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
detects int overflow in passed 2d bounds/parameters	detects int overflow in passed 2d bounds/parameters	1	-2	 detects[0] int[0] overflow[-1] in[0] passed[0] 2d[0] bounds/parameters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Major change here is basically to pull up the expand algorithm into the superclass.	Major change here is basically to pull up the expand algorithm into the superclass.	1	-1	 Major[0] change[0] here[0] is[0] basically[0] to[0] pull[0] up[0] the[0] expand[0] algorithm[0] into[0] the[0] superclass[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
You also need to make a similar change within void ReplicaSetMonitor::_checkHosts():Line 297: log(1)    "updated set ("    _name    ") to: "    getServerAddress()Perhaps more places as well.	You also need to make a similar change within void ReplicaSetMonitor::_checkHosts(Line 297: log(1)    "updated set (    _name    " to: "    getServerAddress(Perhaps more places as well.	1	-2	 You[0] also[0] need[0] to[0] make[0] a[0] similar[0] change[0] within[0] void[-1] ReplicaSetMonitor[0] ::_checkHosts[0] Line[0] 297[0] log[0] (1[0] updated[0] set[0] _name[0] to[0] getServerAddress[0] Perhaps[0] more[0] places[0] as[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
The one you mentioned should be that way i believe.	The one you mentioned should be that way i believe.	1	-1	 The[0] one[0] you[0] mentioned[0] should[0] be[0] that[0] way[0] i[0] believe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Why not checking that scale is a multiple of 1024 ?	Why not checking that scale is a multiple of 1024 ?	1	-1	 Why[0] not[0] checking[0] that[0] scale[0] is[0] a[0] multiple[0] of[0] 1024[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Won't this mean you can step down a primary (and assuming a busy website load) 10 seconds of data may be lost?I would have thought you would want to have no lag what so ever, otherwise you need to specify force: true, instead of allowing 10 seconds of lag time?	Won't this mean you can step down a primary (and assuming a busy website load) 10 seconds of data may be lost?<br>I would have thought you would want to have no lag what so ever, otherwise you need to specify force: true, instead of allowing 10 seconds of lag time?	2	-2	 Won't[0] this[0] mean[0] you[0] can[0] step[0] down[0] a[0] primary[0] and[0] assuming[0] a[0] busy[0] website[0] load[0] 10[0] seconds[0] of[0] data[0] may[0] be[0] lost[0] [[Sentence=-1,1=word max, 1-5]] I[0] would[0] have[0] thought[0] you[0] would[0] want[0] to[0] have[0] no[0] lag[0] what[0] so[0] ever[0] otherwise[0] you[0] need[0] to[0] specify[0] force[-1] true[1] instead[0] of[0] allowing[0] 10[0] seconds[0] of[0] lag[0] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
  Won't this mean you can step down a primary (and assuming a busy website  load) 10 seconds of data may be lost?Assuming a healthy network, no.The other secondaries will replicate fromthe primary until they are up-to-date, then elect a new primary.The 10second rule is to make sure that there isn't a long lag while secondariesare catching up (and there is no primary).If the network is unhealthy, then it is possible that data will be rolledback (not lost).However, this was true before, is part of the design ofreplica sets (seehttp://www.mongodb.org/display/DOCS/Replica Set Design Concepts), and thiscommit provides a stronger guarantee than before: only 10 seconds of datamay be rolled back.On Sat, Apr 9, 2011 at 11:35 PM, Plasma  reply@reply.github.com wrote:  Won't this mean you can step down a primary (and assuming a busy website  load) 10 seconds of data may be lost?   I would have thought you would want to have no lag what so ever, otherwise  you need to specify force: true, instead of allowing 10 seconds of lag time?  ##   Reply to this email directly or view it on GitHub:   https://github.com/mongodb/mongo/commit/6af8365495692b330f1ec8a93c5f172817f7a7c3#commitcomment-335801	  Won't this mean you can step down a primary (and assuming a busy website  load) 10 seconds of data may be lost?<br>Assuming a healthy network, no.<br>The other secondaries will replicate fromthe primary until they are up-to-date, then elect a new primary.<br>The 10second rule is to make sure that there isn't a long lag while secondariesare catching up (and there is no primary)<br>If the network is unhealthy, then it is possible that data will be rolledback (not lost)<br>However, this was true before, is part of the design ofreplica sets (seehttp://w.<br>mongodb.<br>org/display/DOCS/Replica Set Design Concepts) and thiscommit provides a stronger guarantee than before: only 10 seconds of datamay be rolled back.<br>On Sat, Apr 9, 2011 at 11:35 PM, Plasma  reply@reply.<br>github.<br>com wrote:  Won't this mean you can step down a primary (and assuming a busy website  load) 10 seconds of data may be lost?<br>   I would have thought you would want to have no lag what so ever, otherwise  you need to specify force: true, instead of allowing 10 seconds of lag time?<br>  ##   Reply to this email directly or view it on GitHub:   https://github.<br>com/mongodb/mongo/commit/6af8365495692b330f1ec8a93c5f172817f7a7c3#commitcomment-335801	2	-2	 Won't[0] this[0] mean[0] you[0] can[0] step[0] down[0] a[0] primary[0] and[0] assuming[0] a[0] busy[0] website[0] load[0] 10[0] seconds[0] of[0] data[0] may[0] be[0] lost[0] [[Sentence=-1,1=word max, 1-5]] Assuming[0] a[0] healthy[0] network[0] no[0] [[Sentence=-1,1=word max, 1-5]] The[0] other[0] secondaries[0] will[0] replicate[0] fromthe[0] primary[0] until[0] they[0] are[0] up[0] to[0] date[0] then[0] elect[0] a[0] new[0] primary[0] [[Sentence=-1,1=word max, 1-5]] The[0] 10second[0] rule[0] is[0] to[0] make[0] sure[0] that[0] there[0] isn't[0] a[0] long[0] lag[0] while[0] secondariesare[0] catching[0] up[0] and[0] there[0] is[0] no[0] primary[0] [[Sentence=-1,1=word max, 1-5]] If[0] the[0] network[0] is[0] unhealthy[-1] then[0] it[0] is[0] possible[0] that[0] data[0] will[0] be[0] rolledback[0] not[0] lost[0] [[Sentence=-2,1=word max, 1-5]] However[0] this[0] was[0] true[1] before[0] is[0] part[0] of[0] the[0] design[0] ofreplica[0] sets[0] seehttp[0] ://www/://w[0] [[Sentence=-1,2=word max, 1-5]] mongodb[0] [[Sentence=-1,1=word max, 1-5]] org/display/DOCS/Replica[0] Set[0] Design[0] Concepts[0] and[0] thiscommit[0] provides[0] a[0] stronger[0] guarantee[0] than[0] before[0] only[0] 10[0] seconds[0] of[0] datamay[0] be[0] rolled[0] back[0] [[Sentence=-1,1=word max, 1-5]] On[0] Sat[0] Apr[0] 9[0] 2011[0] at[0] 11[0] :35[0] PM[0] Plasma[0] reply@reply[0] [[Sentence=-1,1=word max, 1-5]] github[0] [[Sentence=-1,1=word max, 1-5]] com[0] wrote[0] Won't[0] this[0] mean[0] you[0] can[0] step[0] down[0] a[0] primary[0] and[0] assuming[0] a[0] busy[0] website[0] load[0] 10[0] seconds[0] of[0] data[0] may[0] be[0] lost[0] [[Sentence=-1,1=word max, 1-5]] I[0] would[0] have[0] thought[0] you[0] would[0] want[0] to[0] have[0] no[0] lag[0] what[0] so[0] ever[0] otherwise[0] you[0] need[0] to[0] specify[0] force[-1] true[1] instead[0] of[0] allowing[0] 10[0] seconds[0] of[0] lag[0] time[0] [[Sentence=-2,2=word max, 1-5]] ##[0] Reply[0] to[0] this[0] email[0] directly[0] or[0] view[0] it[0] on[0] GitHub[0] https[0] ://github[0] [[Sentence=-1,1=word max, 1-5]] com/mongodb/mongo/commit/6af8365495692b330f1ec8a93c5f172817f7a7c3#commitcomment[0] -335801[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
