Body	Label	Score	Translation	Positive	Negative	EmotionRationale
Well, not everybody is as streamie as you, jed and me : ).	NEGATIVE	0.9982085227966309	Well, not everybody is as streamie as you, jed and me : )	1	-1	 Well[0] not[0] everybody[0] is[0] as[0] streamie[0] as[0] you[0] jed[0] and[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
You can write to me, when this part of the improvements will be completed, I will update the [node-mysql-bindings-benchmark](http://github.com/Sannis/node-mysql-bindings-benchmarks) :)Any comments are welcome.	POSITIVE	0.9935517311096191	You can write to me, when this part of the improvements will be completed, I will update the [node-mysql-bindings-benchmark](http://github.<br>com/Sannis/node-mysql-bindings-benchmarks) :Any comments are welcome.	2	-1	 You[0] can[0] write[0] to[0] me[0] when[0] this[0] part[0] of[0] the[0] improvements[1] will[0] be[0] completed[0] I[0] will[0] update[0] the[0] [node[0] mysql[0] bindings[0] benchmark][0] http[0] ://github[0] [[Sentence=-1,2=word max, 1-5]] com/Sannis/node[0] mysql[0] bindings[0] benchmarks[0] Any[0] comments[0] are[0] welcome[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
For now I just picked some low hanging fruits that were easy to spot. Hopefully I'll have time to do some full profiling soon to see if there is more performance to be gained. I'll let you know.	POSITIVE	0.8435462713241577	For now I just picked some low hanging fruits that were easy to spot.<br> Hopefully I'll have time to do some full profiling soon to see if there is more performance to be gained.<br> I'll let you know.	1	-1	 For[0] now[0] I[0] just[0] picked[0] some[0] low[-1][--1 LastWordBoosterStrength] hanging[0] fruits[0] that[0] were[0] easy[0] to[0] spot[0] [[Sentence=-1,1=word max, 1-5]] Hopefully[0] I'll[0] have[0] time[0] to[0] do[0] some[0] full[0] profiling[0] soon[0] to[0] see[0] if[0] there[0] is[0] more[0] performance[0] to[0] be[0] gained[0] [[Sentence=-1,1=word max, 1-5]] I'll[0] let[0] you[0] know[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 code POWS[packet.index] /code  can also be written  code 1    (packet.index    3) /code  if you want to avoid multiplication (or  code 1    (packet.index \* 8) /code  if you want it readable). but the lookup table is probably as fast :)	NEGATIVE	0.9939717650413513	 code POWS[packet.<br>index] /code  can also be written  code 1    (packet.<br>index    3) /code  if you want to avoid multiplication (or  code 1    (packet.<br>index \* 8) /code  if you want it readable)<br> but the lookup table is probably as fast fast	2	-2	 code[0] POWS[packet[0] [[Sentence=-1,1=word max, 1-5]] index][0] /code[0] can[0] also[0] be[0] written[0] code[0] 1[0] packet[0] [[Sentence=-1,1=word max, 1-5]] index[0] 3[0] /code[0] if[0] you[0] want[0] to[0] avoid[-1] multiplication[0] or[0] code[0] 1[0] packet[0] [[Sentence=-2,1=word max, 1-5]] index[0] \[0] 8[0] /code[0] if[0] you[0] want[0] it[0] readable[0] [[Sentence=-1,1=word max, 1-5]] but[0] the[0] lookup[0] table[0] is[0] probably[0] as[0] fast[0][+1 Emoticon] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
Cal: I just tried that, but it doesn't seem to be any faster. Do you see any reason why it should be faster than a property lookup?	NEGATIVE	0.9993009567260742	Cal: I just tried that, but it doesn't seem to be any faster.<br> Do you see any reason why it should be faster than a property lookup?	1	-1	 Cal[0] I[0] just[0] tried[0] that[0] but[0] it[0] doesn't[0] seem[0] to[0] be[0] any[0] faster[0] [[Sentence=-1,1=word max, 1-5]] Do[0] you[0] see[0] any[0] reason[0] why[0] it[0] should[0] be[0] faster[0] than[0] a[0] property[0] lookup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
It should be faster than the power op, but probably no faster than a property lookup in practice - they're both very very simple ops. I did a quick benchmark:   2 shifts : 273 per  s (microsecond)lookup: 201 per  spower:23 per  s   so i think the lookup is just fine :D	POSITIVE	0.9956603646278381	It should be faster than the power op, but probably no faster than a property lookup in practice - they're both very very simple ops.<br> I did a quick benchmark:   2 shifts : 273 per  s (microsecond)lookup: 201 per  spower:23 per  s   so i think the lookup is just fine fine	3	-1	 It[0] should[0] be[0] faster[0] than[0] the[0] power[0] op[0] but[0] probably[0] no[0] faster[0] than[0] a[0] property[0] lookup[0] in[0] practice[0] they're[0] both[0] very[0] very[0] simple[0] ops[0] [[Sentence=-1,1=word max, 1-5]] I[0] did[0] a[0] quick[0] benchmark[0] 2[0] shifts[0] 273[0] per[0] s[0] microsecond[0] lookup[0] 201[0] per[0] spower[0] :23[0] per[0] s[0] so[0] i[0] think[0] the[0] lookup[0] is[0] just[0] fine[2][-1 LastWordBoosterStrength][+1 Emoticon] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Yeah, I still hope to find some major performance bottlenecks - right now this driver is still an order of magnitude slower than the C competition, and I don't think it should be that slow : ).	NEGATIVE	0.9987079501152039	Yeah, I still hope to find some major performance bottlenecks - right now this driver is still an order of magnitude slower than the C competition, and I don't think it should be that slow : )	3	-1	 Yeah[0] I[0] still[0] hope[2] to[0] find[0] some[0] major[0] performance[0] bottlenecks[0] right[0] now[0] this[0] driver[0] is[0] still[0] an[0] order[0] of[0] magnitude[0] slower[0] than[0] the[0] C[0] competition[0] and[0] I[0] don't[0] think[0] it[0] should[0] be[0] that[0] slow[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
I just fixed the reconnect behavior in 2db5bbdb449686733290390cb3c196d9af3d43be. Your benchmark should now work.Anyway, also test  client.destroy()  as that is now behaving like  client.end()  used to behave. I would expect  client.end()  to be a good bit slower, but I guess you will see for yourself : ).	NEGATIVE	0.9944288730621338	I just fixed the reconnect behavior in 2db5bbdb449686733290390cb3c196d9af3d43be.<br> Your benchmark should now work.<br>Anyway, also test  client.<br>destroy(  as that is now behaving like  client.<br>end(  used to behave.<br> I would expect  client.<br>end(  to be a good bit slower, but I guess you will see for yourself : )	2	-3	 I[0] just[0] fixed[0] the[0] reconnect[0] behavior[0] in[0] 2db5bbdb449686733290390cb3c196d9af3d43be[0] [[Sentence=-1,1=word max, 1-5]] Your[0] benchmark[0] should[0] now[0] work[0] [[Sentence=-1,1=word max, 1-5]] Anyway[0] also[0] test[0] client[0] [[Sentence=-1,1=word max, 1-5]] destroy[-2] as[0] that[0] is[0] now[0] behaving[0] like[1] client[0] [[Sentence=-3,2=word max, 1-5]] end[0] used[0] to[0] behave[0] [[Sentence=-1,1=word max, 1-5]] I[0] would[0] expect[0] client[0] [[Sentence=-1,1=word max, 1-5]] end[0] to[0] be[0] a[0] good[1] bit[0] slower[0] but[0] I[0] guess[0] you[0] will[0] see[0] for[0] yourself[0] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
Is there any reason why this function, unlike all others is attached directly to Client rather than to Client.prototype?	NEGATIVE	0.9989737868309021	Is there any reason why this function, unlike all others is attached directly to Client rather than to Client.<br>prototype?	1	-1	 Is[0] there[0] any[0] reason[0] why[0] this[0] function[0] unlike[0] all[0] others[0] is[0] attached[0] directly[0] to[0] Client[0] rather[0] than[0] to[0] Client[0] [[Sentence=-1,1=word max, 1-5]] prototype[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Yeah, it doesn't depend on the state of a client instance, so this makes it "class method" in my book. How would you do it?	NEGATIVE	0.9942881464958191	Yeah, it doesn't depend on the state of a client instance, so this makes it "class method" in my book.<br> How would you do it?	1	-1	 Yeah[0] it[0] doesn't[0] depend[0] on[0] the[0] state[0] of[0] a[0] client[0] instance[0] so[0] this[0] makes[0] it[0] class[0] method[0] in[0] my[0] book[0] [[Sentence=-1,1=word max, 1-5]] How[0] would[0] you[0] do[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
interesting, I imagine the lookup is a bit costly since it has to traverse a few scopes but 22%?? awesome!	NEGATIVE	0.8165212869644165	interesting, I imagine the lookup is a bit costly since it has to traverse a few scopes but 22%?<br> awesome!	3	-2	 interesting[1] I[0] imagine[0] the[0] lookup[0] is[0] a[0] bit[0] costly[-1] since[0] it[0] has[0] to[0] traverse[0] a[0] few[0] scopes[0] but[0] 22%[0] [[Sentence=-2,2=word max, 1-5]] awesome[2] [[Sentence=-1,3=word max, 1-5]][[[3,-2 max of sentences]]]
Yeah, Tim-smart mentioned something about this to me a while back when I was working on a new websocket parser.	POSITIVE	0.9193645715713501	Yeah, Tim-smart mentioned something about this to me a while back when I was working on a new websocket parser.	2	-1	 Yeah[0] Tim[0] smart[1] mentioned[0] something[0] about[0] this[0] to[0] me[0] a[0] while[0] back[0] when[0] I[0] was[0] working[0] on[0] a[0] new[0] websocket[0] parser[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
I guess its all relative, compared to the rest of your app it might not make much of a difference at all, but pretty easy optimization to squeeze out	NEGATIVE	0.9847402572631836	I guess its all relative, compared to the rest of your ap it might not make much of a difference at all, but pretty easy optimization to squeeze out	3	-1	 I[0] guess[0] its[0] all[0] relative[0] compared[0] to[0] the[0] rest[0] of[0] your[0] app/ap[0] it[0] might[0] not[0] make[0] much[0] of[0] a[0] difference[0] at[0] all[0] but[0] pretty[2] easy[0] optimization[0] to[0] squeeze[0] out[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Yeah, I wouldn't take this optimization _anywhere_ else, but this switch statement is literally executed millions of times, so it makes sense here. There are a few other micro-optimizations like this that I have found, but they're not worthwhile compared to this. I'm still hoping to find some bigger opportunities to gain more speed. At this point this module is  7x slower for SELECT and  2x slower for INSERT compared to PHP.	NEGATIVE	0.9993686079978943	Yeah, I wouldn't take this optimization _anywhere_ else, but this switch statement is literally executed millions of times, so it makes sense here.<br> There are a few other micro-optimizations like this that I have found, but they're not worthwhile compared to this.<br> I'm still hoping to find some bigger opportunities to gain more speed.<br> At this point this module is  7x slower for SELECT and  2x slower for INSERT compared to PHP.	2	-2	 Yeah[0] I[0] wouldn't[0] take[0] this[0] optimization[0] _anywhere_[0] else[0] but[0] this[0] switch[0] statement[0] is[0] literally[0] executed[-1] millions[0] of[0] times[0] so[0] it[0] makes[0] sense[0] here[0] [[Sentence=-2,1=word max, 1-5]] There[0] are[0] a[0] few[0] other[0] micro[0] optimizations[0] like[1] this[0] that[0] I[0] have[0] found[0] but[0] they're[0] not[0] worthwhile[1][NegatedDueToPreviousWord] compared[0] to[0] this[0] [[Sentence=-2,2=word max, 1-5]] I'm[0] still[0] hoping[1] to[0] find[0] some[0] bigger[0] opportunities[0] to[0] gain[0] more[0] speed[0] [[Sentence=-1,2=word max, 1-5]] At[0] this[0] point[0] this[0] module[0] is[0] 7x[0] slower[0] for[0] SELECT[0] and[0] 2x[0] slower[0] for[0] INSERT[0] compared[0] to[0] PHP[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
ah, that explains it :)	POSITIVE	0.9833315014839172	ah, that explains it it	2	-1	 ah[0] that[0] explains[0] it[0][+1 Emoticon] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
I'm just curious, what if array of functions indexed by state is used? At least in C it would be good optimization for a big switch.	NEGATIVE	0.997657299041748	I'm just curious, what if array of functions indexed by state is used?<br> At least in C it would be good optimization for a big switch.	2	-1	 I'm[0] just[0] curious[0] what[0] if[0] array[0] of[0] functions[0] indexed[0] by[0] state[0] is[0] used[0] [[Sentence=-1,1=word max, 1-5]] At[0] least[0] in[0] C[0] it[0] would[0] be[0] good[1] optimization[0] for[0] a[0] big[0] switch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
It turns out it's  60% faster than using a plain variable as this test shows: http://jsperf.com/variable-tree-lookup	NEGATIVE	0.960719645023346	It turns out it's  60% faster than using a plain variable as this test shows: http://jsperf.<br>com/variable-tree-lookup	1	-1	 It[0] turns[0] out[0] it's[0] 60%[0] faster[0] than[0] using[0] a[0] plain[0] variable[0] as[0] this[0] test[0] shows[0] http[0] ://jsperf[0] [[Sentence=-1,1=word max, 1-5]] com/variable[0] tree[0] lookup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vgrichina: Just tried it, it's just about the same speed it seems.	NEGATIVE	0.9944341778755188	vgrichina: Just tried it, it's just about the same speed it seems.	1	-1	 vgrichina[0] Just[0] tried[0] it[0] it's[0] just[0] about[0] the[0] same[0] speed[0] it[0] seems[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I think it's because you were looking up the property of an object which probably make v8 opt out of inlining the statement. The difference in those raw operations would not be 20% :)	NEGATIVE	0.9988713264465332	I think it's because you were looking up the property of an object which probably make v8 opt out of inlining the statement.<br> The difference in those raw operations would not be 20% 20%	2	-1	 I[0] think[0] it's[0] because[0] you[0] were[0] looking[0] up[0] the[0] property[0] of[0] an[0] object[0] which[0] probably[0] make[0] v8[0] opt[0] out[0] of[0] inlining[0] the[0] statement[0] [[Sentence=-1,1=word max, 1-5]] The[0] difference[0] in[0] those[0] raw[0] operations[0] would[0] not[0] be[0] 20%[0][+1 Emoticon] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yeah good call, if they are numeric and _not_ properties I could see v8 inlining them, but even eval() could get in the way of that I'd imagine	NEGATIVE	0.9895965456962585	yeah good call, if they are numeric and _not_ properties I could see v8 inlining them, but even eval( could get in the way of that I'd imagine	2	-1	 yeah[0] good[1] call[0] if[0] they[0] are[0] numeric[0] and[0] _not_[0] properties[0] I[0] could[0] see[0] v8[0] inlining[0] them[0] but[0] even[0] eval[0] could[0] get[0] in[0] the[0] way[0] of[0] that[0] I'd[0] imagine[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
eval breaks pretty much all optimizations :)	NEGATIVE	0.9590583443641663	eval breaks pretty much all optimizations optimizations	3	-1	 eval[0] breaks[0] pretty[2] much[0] all[0] optimizations[0][+1 Emoticon] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yup lol	POSITIVE	0.9641520977020264	yup laugh out loud	2	-1	 yup[0] lol[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great, I'll update [node-mysql-bindings-benchmarks](http://github.com/Sannis/node-mysql-bindings-benchmarks) at this evening.	POSITIVE	0.9940598011016846	Great, I'll update [node-mysql-bindings-benchmarks](http://github.<br>com/Sannis/node-mysql-bindings-benchmarks) at this evening.	3	-1	 Great[2] I'll[0] update[0] [node[0] mysql[0] bindings[0] benchmarks][0] http[0] ://github[0] [[Sentence=-1,3=word max, 1-5]] com/Sannis/node[0] mysql[0] bindings[0] benchmarks[0] at[0] this[0] evening[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
Please push this newest version to NPM as soon as possible... I really need this array handling ability in a current project.	NEGATIVE	0.9932796955108643	Please push this newest version to NPM as soon as possible.<br> I really need this array handling ability in a current project.	2	-1	 Please[1] push[0] this[0] newest[0] version[0] to[0] NPM[0] as[0] soon[0] as[0] possible[0] [[Sentence=-1,2=word max, 1-5]] I[0] really[0] need[0] this[0] array[0] handling[0] ability[0] in[0] a[0] current[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
I agree. Please push to NPM.	POSITIVE	0.9790142178535461	I agree.<br> Please push to NPM.	2	-1	 I[0] agree[0] [[Sentence=-1,1=word max, 1-5]] Please[1] push[0] to[0] NPM[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 1 to pushing to npm	POSITIVE	0.9228347539901733	 1 to pushing to npm	1	-1	 1[0] to[0] pushing[0] to[0] npm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
How can I put the new password? MySQL version? Re-make the user?Edit 1: Is the Hashing?	NEGATIVE	0.999594509601593	How can I put the new password?<br> MySQL version?<br> Re-make the user?<br>Edit 1: Is the Hashing?	1	-1	 How[0] can[0] I[0] put[0] the[0] new[0] password[0] [[Sentence=-1,1=word max, 1-5]] MySQL[0] version[0] [[Sentence=-1,1=word max, 1-5]] Re[0] make[0] the[0] user[0] [[Sentence=-1,1=word max, 1-5]] Edit[0] 1[0] Is[0] the[0] Hashing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Does this pass the test suite?	NEGATIVE	0.9835879802703857	Does this pass the test suite?	1	-1	 Does[0] this[0] pass[0] the[0] test[0] suite[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
There should be a test for this.	NEGATIVE	0.9962522387504578	There should be a test for this.	1	-1	 There[0] should[0] be[0] a[0] test[0] for[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
OK, I'll do it in a moment.	POSITIVE	0.9994745254516602	OK, I'll do it in a moment.	1	-1	 OK[0] I'll[0] do[0] it[0] in[0] a[0] moment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
You were right about the test. It made me realize the stupidity of my change :smile: I'll update it now.	NEGATIVE	0.9963564276695251	You were right about the test.<br> It made me realize the stupidity of my change :smile: I'll update it now.	3	-2	 You[0] were[0] right[0] about[0] the[0] test[0] [[Sentence=-1,1=word max, 1-5]] It[0] made[0] me[0] realize[0] the[0] stupidity[-1] of[0] my[0] change[0] smile[2] I'll[0] update[0] it[0] now[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
Great work man. Thank you so much. :heart: :heart: :heart:	POSITIVE	0.9998631477355957	Great work man.<br> Thank you so much.<br> :heart: :heart: :heart:	3	-1	 Great[2] work[0] man[0] [[Sentence=-1,3=word max, 1-5]] Thank[1] you[0] so[0] much[0] [[Sentence=-1,2=word max, 1-5]] heart[0] heart[0] heart[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
Why does  'drain'  take an  err  argument here? I think this is copy & paste failure, isn't it? : p	NEGATIVE	0.9998127222061157	Why does  'drain'  take an  er  argument here?<br> I think this is copy & paste failure, isn't it?<br> : p	1	-3	 Why[0] does[0] 'drain'[0] take[0] an[0] err/er[0] argument[-1] here[0] [[Sentence=-2,1=word max, 1-5]] I[0] think[0] this[0] is[0] copy[0] &[0] paste[0] failure[-2] isn't[0] it[0] [[Sentence=-3,1=word max, 1-5]] p[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
LGTM, good work. Did you also add a note to the docs?UPDATE: never mind, I see you did. Awesome!	POSITIVE	0.9998454451560974	LGTM, good work.<br> Did you also add a note to the docs?<br>UPDATE: never mind, I see you did.<br> Awesome!	3	-1	 LGTM[0] good[1] work[0] [[Sentence=-1,2=word max, 1-5]] Did[0] you[0] also[0] add[0] a[0] note[0] to[0] the[0] docs[0] [[Sentence=-1,1=word max, 1-5]] UPDATE[0] never[0] mind[0] I[0] see[0] you[0] did[0] [[Sentence=-1,1=word max, 1-5]] Awesome[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
