Body	Label	Score
Yay :palm_tree:	POSITIVE	0.7426583766937256
:) thanks for the catch @dougwilson	POSITIVE	0.9987611174583435
This is sync? I thought this had to be async :)	NEGATIVE	0.9892633557319641
It's magic! Basically the statement is not prepared yet when the `prepare()` function returns, this happens async in the background. However, you can already call query() on the returned statement, and the actual query will execute once the prepare is done. If the prepare has an error, the error goes to the query.Not sure if this is the right / perfect API, but it seemed to fit well with how the lib is working so far. What ya think?	NEGATIVE	0.5357592701911926
I love it, no need to add another level, just call prepare and query right after :)	POSITIVE	0.9998003840446472
Build failing since this commit.	NEGATIVE	0.9997910857200623
Has the fix been included in a build and if so what is the earliest version it was included in? I'm running v0.10.21 and	NEGATIVE	0.9994203448295593
It's included in 2.0.0-alpha9	NEGATIVE	0.9551977515220642
:+1:	POSITIVE	0.9945157170295715
Congratulations guys!PS: don't forget to update changelog please :)	POSITIVE	0.9996092915534973
Thanks! (me updating changelog)	POSITIVE	0.9994865655899048
Thanks guys, i am waiting for this release..	POSITIVE	0.9895303845405579
AFAIK this can be moved down to line 69, as everything above there will keep the domain (due to either core support, or `Connection` support). This would be prevent a double-bind on all the non-queued cases that way.	NEGATIVE	0.98626309633255
ok sounds right to me	POSITIVE	0.9997910261154175
This means it's no longer possible to override `createConnection`, although it's still specified in the documentation as working:https://github.com/felixge/node-mysql#pool-options-[Unknown]	NEGATIVE	0.9994542598724365
Thank you, this has been removed from the documentation.	NEGATIVE	0.9970868825912476
createSecurePair is deprecated in v0.11.x.You're probably better off just doing something like this for v0.10+ instead:``` javascriptvar wrappedSock = tls.connect({key: this.config.ssl.key,cert: this.config.ssl.cert,passphrase: this.config.ssl.passphrase,ca: this.config.ssl.ca,socket: this._socket}, onSecure);wrappedSock.pipe(this._protocol);// write to wrappedSock and not this._socket from here on out ...```	NEGATIVE	0.9994959235191345
Thanks, I'll try this! (also in node-mysql2 as the code is the same)	POSITIVE	0.9881325960159302
created issue for this - https://github.com/felixge/node-mysql/issues/737	NEGATIVE	0.994354784488678
Why is this custom startTLS code necessary? Why not just use `tls.connect({ socket: this._socket, ... }, onSecure);` to upgrade the socket? That functionality exists even in v0.8.x. It should work for v0.11+ as well.	NEGATIVE	0.9960659742355347
This was just an extension of the code that was contributed ;) I'll look into replacing it with `tls.connect`.	NEGATIVE	0.9993691444396973
P.S. A PR is always welcome!	POSITIVE	0.9998204708099365
@mscdex nevermind, I have already swapped it to `tls.connect` on my local machine! I see a "wrinkle" right now in that `tls.connect` will verify the hostname on the certificate; I need to research to see if this is a valid default or not for MySQL servers.	NEGATIVE	0.9986193180084229
Looks like no MySQL hosts out there support hostname verification by default (perhaps people's own setups may, but not third-party services). Unfortunately `tls.connect` has no way to opt into certificate verification without CN/SAN verification...	NEGATIVE	0.9997050762176514
This will be an endlessly moving target; there is no version declaration.	NEGATIVE	0.9942914843559265
oops, already pushed to master. I'll change to 1.2	NEGATIVE	0.829147219657898
I have reverted this commit until you can declare which versions of io.js are actually supported and we don't suddenly start failing when 2.0 comes out, which this commit will cause.	NEGATIVE	0.9820851683616638
Ok. If you do, please update `package.json` to specify that 1.0 and 1.1 of io.js are not supported.	NEGATIVE	0.8602636456489563
I'll use this in mysql2 if you don't mind :)	NEGATIVE	0.9967144131660461
Please do :) I'm 99% sure the Node.js community stole setting up istanbul + coveralls.io from me last year :) And it's been awesome to see people interested in getting code coverage going :D	POSITIVE	0.9988171458244324
P.S. I may make tweaks to the config once it actually starts running on AppVeyor :) So far this configuration was based off Express.js stuff and the MySQL parts are all just guesses D:	NEGATIVE	0.9989379644393921
thanks :) I'll wait for first test results	NEGATIVE	0.6420706510543823
:disappointed: https://youtu.be/xeKMS62GrTI@jperras but "both" is too much. lol	NEGATIVE	0.9996888041496277
:+1:	POSITIVE	0.9945157170295715
\o/	NEGATIVE	0.6763930320739746
can this be called out of order? Two compressed packets arrive one after another, cp1, cp2 => cp1.inflate called, cp2 .inflate called; cp2.inflate pushes result before cp1 ?	NEGATIVE	0.9987939596176147
This still needs a lot of tests added, but this impl will only allow a single outstanding inflate at a time, which is what the `_inflating` guard is doing.	NEGATIVE	0.9975545406341553
	POSITIVE	0.7481210827827454
